Crop,2006,2007,2008,2009,2010,2011,2012
   Tea  (mn kg),310.8,305.2,318.7,291,331.4,327.5,328.4
   Rubber  (mn kg),109.2,117.6,129.2,136.9,153.2,158.2,152
   Coconut (mn nuts),2785,2869,2909,2762,2584,2808,2940
   Coffee (mt),3500,2979,3081,3125,3164,2974,3000
   Cocoa (mt),810,393,1695,467,520,525,513
   Cinnamon  (mt),15900,16505,14899,15765,16435,18250,17165
   Pepper (mt),14440,16597,12897,15767,17332,10800,18604
   Clove (mt),3575,2990,8203,3032,9551,5533,4009
   Cardamom (mt),80,90,71,61,48,57,80
   Nutmeg and Mace  (mt),1925,5553,2174,1740,2376,2206,2002
   Cashew kernals  (mt),1944,2331,1000,2400,1200,1200,2000
   Paddy (mt '000),3342,3131,3875,3652,4301,3894,3846
Sugar Production (by Year) (mt '000),56,29,39,32,31,35,36
